model,variable,coef,se,tstat,pval,stars,r2_within,nobs
M1_Baseline_mid,unemp_rate,0.019234255204128754,0.01106580381803306,1.738170630929153,0.0830995955719831,*,-0.0194165799107735,394
M1_Baseline_mid,income_growth,0.005245812475879398,0.00807897200860099,0.6493168277219714,0.5165785371645066,,-0.0194165799107735,394
M2_GasYoY_mid,gasyoy_x_exp,0.0507617560497743,0.08159893589837364,0.6220884560675508,0.5343081276003712,,-0.01873257055082722,394
M2_GasYoY_mid,unemp_rate,0.019364854783437555,0.011107773047696001,1.7433606808751152,0.08219079845316202,*,-0.01873257055082722,394
M2_GasYoY_mid,income_growth,0.004918966302756467,0.00815759927415991,0.6029919020829856,0.5469232939377737,,-0.01873257055082722,394
M5_GasW_mid,gasw_x_exp,-0.03010074499065077,0.005838517922460669,-5.155545532343708,4.3398121496451836e-07,***,0.00921970823231999,394
M5_GasW_mid,unemp_rate,0.018029306166810505,0.010914448142221865,1.6518751962424243,0.09949977122473919,*,0.00921970823231999,394
M5_GasW_mid,income_growth,0.00444873145581234,0.00806185880183202,0.5518245314345355,0.5814375955993552,,0.00921970823231999,394
M6_Gas6m_mid,gas6m_x_exp,-0.029547622848366043,0.005734827036217633,-5.152312818113165,4.409696263696361e-07,***,0.010708235085737261,394
M6_Gas6m_mid,unemp_rate,0.018022295476852766,0.010913529879666407,1.6513717995523234,0.09960252968403838,*,0.010708235085737261,394
M6_Gas6m_mid,income_growth,0.004344656611928876,0.008062917482777867,0.538844236122833,0.5903532981133441,,0.010708235085737261,394
P1_Baseline_pres,unemp_rate,-0.010753876326491349,0.012258586268862578,-0.8772525714328684,0.3809707253491097,,-0.01614390407916666,398
P1_Baseline_pres,income_growth,0.00019085750505389511,0.009703056683082061,0.01966983305236876,0.9843183277474616,,-0.01614390407916666,398
P2_GasYoY_pres,gasyoy_x_exp,-0.11554339123647478,0.043330026432832965,-2.6665894472873606,0.008030982766618733,***,-0.006530165428038082,398
P2_GasYoY_pres,unemp_rate,-0.009965526539290278,0.01219312411703734,-0.8173070694298551,0.414328692002532,,-0.006530165428038082,398
P2_GasYoY_pres,income_growth,0.00014129841441158175,0.009633587079938,0.0146672691323709,0.9883062856227942,,-0.006530165428038082,398
P5_GasW_pres,gasw_x_exp,-0.02787383682604213,0.006093613595544703,-4.574270486468302,6.717700681724281e-06,***,0.005769470736578075,398
P5_GasW_pres,unemp_rate,-0.007517827184346531,0.012040713667412356,-0.6243672420093493,0.5328076345663924,,0.005769470736578075,398
P5_GasW_pres,income_growth,0.0010336410525243899,0.010033633325374857,0.10301762272997682,0.9180100776292461,,0.005769470736578075,398
P6_Gas6m_pres,gas6m_x_exp,-0.02665312776175733,0.005946449816563135,-4.482191657872598,1.0129044603512938e-05,***,0.004915556632001272,398
P6_Gas6m_pres,unemp_rate,-0.007681780198865477,0.0120302029688387,-0.6385411965835698,0.5235538660658543,,0.004915556632001272,398
P6_Gas6m_pres,income_growth,0.0010475316030775508,0.010042521363465975,0.10430962157455807,0.9169855101405859,,0.004915556632001272,398
E5_GasW_ext,gasw_x_exp,-0.013627692264371086,0.0035357681989754298,-3.8542380318709872,0.00012710838338558794,***,-0.009496956131604506,743
E5_GasW_ext,unemp_rate,0.01768078772011806,0.007124274248803372,2.48176685829968,0.013314088434507987,**,-0.009496956131604506,743
E5_GasW_ext,income_growth,0.006296760981546849,0.005724003154209024,1.1000624583717533,0.2716947618491785,,-0.009496956131604506,743
A1_Asym_mid,gasup_x_exp,-0.01852774881461875,0.07217209890520374,-0.2567162254620652,0.7975563798262095,,-0.016901328874562527,394
A1_Asym_mid,gasdown_x_exp,-0.047100365969975355,0.05390271850704682,-0.8738031638203521,0.38285516472227155,,-0.016901328874562527,394
A1_Asym_mid,unemp_rate,0.018897357781004414,0.011295433516852652,1.673008632453972,0.0952647231633792,*,-0.016901328874562527,394
A1_Asym_mid,income_growth,0.005588154210393939,0.008201108885291216,0.6813900764586065,0.496098284155001,,-0.016901328874562527,394
A2_Asym_pres,gasup_x_exp,0.22031020528160586,0.08669816691771325,2.5411172244357387,0.01149770421690488,**,0.11132378193314907,398
A2_Asym_pres,gasdown_x_exp,-0.5189201765841256,0.11509857049450879,-4.508484982520983,9.02275755976234e-06,***,0.11132378193314907,398
A2_Asym_pres,unemp_rate,-0.004783620244119687,0.010391334920585178,-0.46034703728424353,0.6455640357464725,,0.11132378193314907,398
A2_Asym_pres,income_growth,0.0031564161350561043,0.009643218872460209,0.3273197649874382,0.7436292728461984,,0.11132378193314907,398
